Given the following options detailing modifications to AutoTest, which of the following would you...;;; Describe why you chose the option you did (r0_AutoTest)
Ability to check the same amount of feedback but more frequently;;; It is insane that we can only check it twice. (r177_AutoTest)


More detailed feedback;;; Thinking of C2 where there was a common issue people were having with MIN/MAX/SUM. I think the error message could have been more descriptive. (r178_AutoTest)


More feedback on how the grade was computed;;; I think having more feedback on my computed grade can help me better determine the areas of code that I need to focus on to be able to go to the next grading bucket. (r184_AutoTest)



More detailed feedback;;; I think more feedback would be helpful - sometimes it's very difficult to interpret the current feedback. While we were able to see which general functionality that we needed to work more on, it would have been more helpful to have a note about what generally we may need to work on specific to that function (e.g. "work on edge cases", "work your basic functionality, specifically in parsing the query"). This could help students better focus their limited time to working on important improvements (rather than getting very stuck and relying on TAs to spend lots of time finding the holes in their logic), and then be able to dedicate more of their time to making those improvements quality code. (r179_AutoTest)


More detailed feedback;;; During C2, we constantly had timeout issues once we started to implement query. However, there was no detailed feedback as to where the server had timeout issue. This meant we had to blindly guess where the issue might have risen, but our attempt at fixing the code was ultimately fruitless. A detailed feedback would have allowed us to easily and quickly check which part of our program that needs fixing. (r180_AutoTest)


Ability to check the same amount of feedback but more frequently;;; It can help me to fix my problems more efficiently (r181_AutoTest)


More feedback on how the grade was computed;;; I think in general, when an explicit grade isn't given in the early stages, more feedback would be helpful as to know how to advance to later grading stages. (r182_AutoTest)


More feedback on how the grade was computed;;; I want to choose all :((( (r183_AutoTest)


More feedback on how the grade was computed;;; Passing the smoke tests (1/1) but still receiving developing was a little disheartening (r185_AutoTest)


More detailed feedback;;; The smoke test info was very vague and it was difficult to know what exactly to focus on. I lost a lot of time looking through working code to try and find small issues that caused the smoke test to fail (r186_AutoTest)


More feedback on how the grade was computed;;; The we get feed back on which part of our code passed the smoke tests but we didn't get any information on the overall grade we'd receive in percentage form for that commit. (r187_AutoTest)


More detailed feedback;;; knowing where tests fail/time out when everything is ok locally would be helpful and more reflective of real debugging, not semi-blind guessing (r188_AutoTest)


More detailed feedback;;; A very frustrating moment was where our autotest implied there was only one thing which didn't work, but when fixed it unveiled a new issue which we didn't have time to fix but could have done at the same time as working on the previous bug if we had known about it. (r189_AutoTest)


More feedback on how the grade was computed;;; Sometime you get no hint on where to even start looking for the issues. (r190_AutoTest)


Ability to check the same amount of feedback but more frequently;;; Just to be able to check if a fix we did was correct (r191_AutoTest)


More detailed feedback;;; The feedback is sometimes really vague, such as what I received once: I recommended you to work on Geolocation! while the smoke tests passed for Geolocation. I later found it was the test running the queries with geolocation as a filter, that failed. In other words, it was problem of performQuery instead of Geolocation. That feedback really trapped me for a long time. (r192_AutoTest)


More detailed feedback;;; Knowing what specific test failed would have been very valuable information. Not necessarily so specific that it would give us the answer but for example for performQuery telling us it was a problem with WHERE or COLUMNS would have been great. (r193_AutoTest)


More detailed feedback;;; Sometimes gave incorrect error messages, so we would waste time working on aspects that were not causing issues. (r194_AutoTest)


More detailed feedback;;; There were times when the AutoBot showed that a portion of the tests didn't pass but was to vague in describing the problem. This made it difficult to pinpoint where to make changes in order to fix the issue. (r195_AutoTest)


More detailed feedback;;; To be honest, I didn't use the autotest feature much because I knew how limited tries I had and my time management was bad; so I ended up grinding out all the code and then using it in the end. I would've loved, however, more detailed feedback on the parts of my implementation that are lacking, or going wrong. Because I was LOSING my mind trying to debug let me tell you. But I agree that that was my own fault. (r196_AutoTest)


More detailed feedback;;; What was my code doing exactly that got me the grade. Don't make the percentage of my own tests passing a condition for me to get my feedback. (r197_AutoTest)


More detailed feedback;;; Sometimes the feedback was really vague and didn't help me at all figure out what was wrong with the code (r198_AutoTest)


More detailed feedback;;; '- A lot of time is wasted barking up the wrong tree, and it's difficult to tell whether we're going in the right direction. If there were more hints we'd still learn what our mistakes are, and then know where to go, which makes it more efficient.\- In some cases, failure in one of the key functions will cause a spillover failure on the other functions. But it's difficult to tell through just "we recommend you to focus on X" (r199_AutoTest)


No changes;;; it works pretty well through out the term. (r200_AutoTest)


More detailed feedback;;; feedback from autobot sometimes very vague and hard to figure out where is the problem and what is the problem in the code (r201_AutoTest)


More detailed feedback;;; the feedback was so vague that we didn't know where to start fixing the issues (r202_AutoTest)


More detailed feedback;;; In C2, we were stuck on very limited feedback for hours, and we couldn't understand where to look for our mistake. We re-read the spec multiple times and the feedback was very vague. (r203_AutoTest)


More detailed feedback;;; It's very difficult to narrow down the source of the issue, especially when different aspects of the tests are dependent on other functionality (query tests failing due to a data parsing issue, etc.) (r204_AutoTest)


More detailed feedback;;; Because it would help me identify the error faster (r205_AutoTest)


More detailed feedback;;; Had an issue with test coverage and would have been great to know more about the error message that was being thrown from the remote servers (r206_AutoTest)


More feedback on what grade my submission received;;; (r207_AutoTest)


More feedback on how the grade was computed;;; There were times where I felt that my part of the project (parsing queries) was correct, but especially in C2, there were issues with the aggregation despite our tests passing. It would be nice to maybe get a bit more detail, such as the length of the result array, to better understand if the issue is with validating the queries or something else. (r208_AutoTest)


More detailed feedback;;; The current feedback only includes the clusters of smoke tests that I failed, which didn't help in pinpointing my issue sometimes. (r209_AutoTest)


More feedback on what grade my submission received;;; Because of the bucketed grading, it was hard to know what my grade was. (r210_AutoTest)


More detailed feedback;;; Often I'd find that the autotest would tell me to look at one method for problems when the problem was not in that method (r211_AutoTest)


No changes;;; Sometimes the feedback it gives right before proficient is not correct. (r212_AutoTest)


More detailed feedback;;; Easier to narrow down the issue would be a huge help.  We thought an issue was with one class, spent hours and hours on it, turns out it was completely different :(  Would be nice if feeback was detailed (r213_AutoTest)


Ability to check the same amount of feedback but more frequently;;; We all have a lot of different things going on and it feels very bad when we cannot get feedback instantaneously towards the end of an assignment. (r214_AutoTest)


More detailed feedback;;; Ever since c1, I couldn't understand why my addDataset, removeDataset, and listDataset did not pass the bot. They appeared to work locally, but I couldn't figure out why it didn't pass even after asking TAs. I was never able to figure this part out. I feel I could've had a better chance if the AutoTest feedback was more detailed. (r215_AutoTest)


Ability to check the same amount of feedback but more frequently;;; I think we may need more chances to learn the feedback. (r216_AutoTest)


More detailed feedback;;; Some of the auto test feedback was wrong (told me to fix something when it was not wrong) (r217_AutoTest)


No changes;;; I am satisfied with Autotest's feedback quality. (r218_AutoTest)


More feedback on how the grade was computed;;; sometime me and my partner just spend a lot of time on how to imporve the code from develping to perficient, if the grades can be more clear it will save time (r219_AutoTest)


Ability to check the same amount of feedback but more frequently;;; for c0,c1 and c2 it almost felt like we needed to run lot more tests on our own before calling a grade. I am used to the idea that failing tests gives an insight into what to fix. Having restriction on how many times, grade could be called made it bit hard. (r220_AutoTest)


More detailed feedback;;; I would have really appreciated more details as to when a test cluster was failing, maybe showing the actual test case or just a hint to point me in the write direction. Sometimes I was completely lost when the test cluster wouldn't pass. (r221_AutoTest)


More detailed feedback;;; Preferably have a stack trace or error message to indicate what was wrong (r222_AutoTest)


More feedback on what grade my submission received;;; i wanted to know why my local tests were passing but failing ina autobot (r223_AutoTest)


More detailed feedback;;; I chose this because it felt like I would submit a request for grading, but not know why things were failing. I feel like it's hard to know what you've done wrong, and after a certain point of trying I was really just guessing that the cases I was missing which was very frustrating and time consuming. (r224_AutoTest)


No changes;;; I think it's good. (r225_AutoTest)


Ability to check the same amount of feedback but more frequently;;; Sometimes I needed more grades in a day because otherwise I was restricted to wait for the next day to see if I improved or not (r226_AutoTest)


More detailed feedback;;; Some of the feedback when you have a problem can be very specific, leaving out feedback for other areas. (r227_AutoTest)


More detailed feedback;;; Auto test was so frustrating to work with because sometimes it really gives no indication of where an issue might be (r234_AutoTest)
More feedback on how the grade was computed;;; Sometimes we didn't really understand how our grade was computed and hence we did not know where the problem was hence hard to improve. The #check showed us that our 22 local tests were falling during a submission and all the code parts were 0. We were not sure if it was a problem of tests or code, so we spent lots of time on both sides, which turns out was the bug with the function that reads zip files in the test file. (r228_AutoTest)


More detailed feedback;;; The feedback is too general. I think what kind of tests I failed can be provided that will be very informative. (r229_AutoTest)


More feedback on what grade my submission received;;; More feedback from the bucket will help a lot in the initial stage of each milestone. Since this term was my first time interacting with ts, more guidance for C0 will help a lot! (r230_AutoTest)


Ability to check the same amount of feedback but more frequently;;; Often times I would know that an issue was likely occurring because of 2-3 possible reasons for example, but then after checking 1 possibility I couldn't check another so I would waste time on trying both possibilites. (r231_AutoTest)


Ability to check the same amount of feedback but more frequently;;; I always do smaller changes and I want to see if those changes made the grade go up more frequently. (r232_AutoTest)


More detailed feedback;;; more detailed feedback would be useful. Also being able to run a previous checkpoint at any time (i.e running c1 while on c3) would have been helpful as the current way of accessing previous checkpoint feedback with your current code does not show nearly as much feedback as when you ran #c2 while on checkpoint 2 (r233_AutoTest)


More detailed feedback;;; Sometimes specific grading clusters got 0/1 despite me thinking I have done everything correctly. A slight hint at what could have gone wrong could help a lot. (r235_AutoTest)


More detailed feedback;;; Timeout errors were very cryptic, Especially when not using any loops. (r236_AutoTest)


More detailed feedback;;; There was no information on why my code was failing and even the TA's had no advice. (r237_AutoTest)


More detailed feedback;;; The Min/Max in C2 is very confusing, and no unit test I wrote seemed to be able to find problems locally. Also in post-checkpoint feedbacks we realized we got proficient for those two and only the smoke tests are failing, but that makes collaboration really hard because ppl would falsely take blame. (r238_AutoTest)


More detailed feedback;;; In a realistic working setting, it would be impossible to tell what the error in our code is since we wouldn't have an AutoGrader grading our work in the industry, however, just for the purposes of learning during the course, having more detailed feedback on AutoTest, such as what internal tests were failing, would have sped up the coding process for the project a lot. (r239_AutoTest)


More detailed feedback;;; (r240_AutoTest)


More detailed feedback;;; The main problem we ran into was that the Autograder would tell us which of the checkpoints we had failed, but not much else. It wasn't a huge problem, but it took us a while to piece together what the actual problem was from that result. (r241_AutoTest)


More detailed feedback;;; Going through and looking at my entire implementation was annoying :( (r242_AutoTest)


More feedback on how the grade was computed;;; sometimes the feedback would throw us in a completely wrong direction. For example it said to check the wildcard implementation even though the issue was in add dataset. The tests are coupled and very depended on other code that it wasn't testing so certain issues would only pop up in tests that weren't related at all. (r243_AutoTest)


More detailed feedback;;; Sometimes, the feedback would be "Valid Edge Cases", which was incredibly vague. It would be helpful to even have a sub category to tell us where the edge case was, like in addDataset or performQuery. I ended up having to work on performQuery all night because my partner was convinced addDataset was implemented correctly and the edge case was in performQuery, so it was a bit frustrating that the only feedback we could get was "Valid Edge Cases". (r244_AutoTest)


More detailed feedback;;; It will help better debug the code. (r245_AutoTest)


More detailed feedback;;; For the earlier checkpoints, it is really hard to determine the exact issue. Sometimes the issue reported seemed too broad and not necessarily related to the actual issue I later found to be causing the bug. (r246_AutoTest)


More detailed feedback;;; This would make the project less stressful overall. A majority of debugging time was dedicated to locating where potential issues could be, not learning about and fixing issues. Combined with increasingly long AutoTest wait times, the project was less enjoyable and educational than it could have been. More fine-grained feedback about how the code is deficient would be nice. (r247_AutoTest)


No changes;;; I thought the project was of appropriate difficulty given the info we had (r248_AutoTest)


Ability to check the same amount of feedback but more frequently;;; i think it would be helpful to see more of the change in grade as we make progress in the code (r249_AutoTest)


More detailed feedback;;; More feedback -&gt; easier to pinpoint the exact nature of the problem and solve it. The blackbox test suite doesn't need to be *that* black, y'know? (r250_AutoTest)


More detailed feedback;;; Sometimes it was hard to determine what was wrong. (r259_AutoTest)

More feedback on how the grade was computed;;; Sometimes it's hard to figure out what went wrong that resulted in not getting full marks. Feedback like this would be very helpful (r251_AutoTest)


More detailed feedback;;; Sometimes it is really difficult to understand what went wrong with our code from the feedback given, and we often force ourselves going back to the specifications to try really really hard to guess what is expected and read between the lines. (r252_AutoTest)


More detailed feedback;;; more feedback would help me figure out what specifically isn't working with my code (r253_AutoTest)


More detailed feedback;;; Only giving the score of a component (remove for example) did not help us to figure out what was incorrect with our solution. (r254_AutoTest)


More detailed feedback;;; We had something weird happen where many of our tests were failing #check but we got almost perfect scores for the smoke test. We asked our TA for hints but he wasn't able to see more details about it either. I think this means either our tests were bad, or our implementation was wrong despite passing enough to consider full marks. So more detail on why this may happen could be helpful (although in our case we still got full marks despite failing #check) (r255_AutoTest)


Ability to check the same amount of feedback but more frequently;;; Keeping track of how much I could check feedback today, especially closer to deadlines, caused some stress. (r256_AutoTest)


More detailed feedback;;; Smoke test gave almost no feedback and was hard to decipher what was wrong with the code. Many times I have been to the TA and no other feedback was given, most issues were left in the dark. (r257_AutoTest)


Ability to check the same amount of feedback but more frequently;;; I feel like due to my limited capacity in my laptop, I am dependent on the autographed for my code feedback. (r258_AutoTest)

No changes;;; In my opinion the AutoTest delivers what it promises to deliver and does so effectively for students to successully complete the project. (r260_AutoTest)


More feedback on what grade my submission received;;; It would be better if the actual grade could given to us (r261_AutoTest)


More detailed feedback;;; The detailed feedback is largely only available after the deadline has passed. Beforehand it provides vague reviews. (r262_AutoTest)


More feedback on how the grade was computed;;; It was very difficult to understand where our server implementation was failing, because it would run on our local instance, but would receive 0/1 on the autotest, I wish we could’ve known more precisely where the failure was happening. (r263_AutoTest)


No changes;;; I think it gave a reasonable amount of feedback. If there was a problem it pointed out where it would be which made it easier to find and fix. (r264_AutoTest)


More detailed feedback;;; Often, autotests were failing and we had to spend hours figuring out why. It's hard to tell if a test case failing is because of that test case, or just some other bug encountered during the database parsing. Additionally, in C3, we ended up getting 100% even though 3 of the smoke tests were still failing... still not sure what was going wrong there. (r265_AutoTest)


More detailed feedback;;; (r266_AutoTest)


More detailed feedback;;; Sometimes, the AutoTest would tell us to work on a specific part of the code more, such as the AND parts of the query, but we would not know exactly what was wrong with it. (r267_AutoTest)


More detailed feedback;;; We encountered timeout issues in c2 and could not determine what exactly caused these issues. (r268_AutoTest)


More feedback on how the grade was computed;;; since the c1 and c2 doesn't give much detail about the grade we already cover (r269_AutoTest)


More feedback on how the grade was computed;;; Autograder is buggy in telling me what's wrong for C2 and C3. They are pointing at wrong places where the mistake is happening elsewhere. Definitely need to write more concrete tests to increase observability and actionability. (r270_AutoTest)


More detailed feedback;;; I think the feedback was quite vague, which was frustrating. Specifically when using #check, this is purely because we had an issue with our code being too slow apparently and both my prof and TA did not know what was causing the error because my code was working perfectly fine. (r271_AutoTest)


More feedback on how the grade was computed;;; There were instances in which the feedback was really misleading like showing a problem with 'MAX' when everything is correct. Or even when everything is correct, just not reaching proficient. I believe something of the sort that if we pass most or all tests then we get access to more feedback should have been there. (r272_AutoTest)


More detailed feedback;;; More details on what type of smoke test I am failing would definitely help me understand what parts of my code needs more work. (r273_AutoTest)


More detailed feedback;;; Sometimes the score would be a max score but not be proficient, or proficient but would not have a max score. So I would just like to have more feedback what is missing from our functionality. (r274_AutoTest)


No changes;;; i felt comfortable with the amount of feedback (r275_AutoTest)


More detailed feedback;;; I felt like the autograder often lacked any useful feedback (r276_AutoTest)



More detailed feedback;;; 4 checks for each person is good enough, but i thought that sometimes the feedback was not helpful at all. Gaining more info that the TAs have access to would be a lot more helpful to gain insight and be more productive. (r277_AutoTest)


Ability to check the same amount of feedback but more frequently;;; The limit just holds the momentum of working the project (r278_AutoTest)


More detailed feedback;;; While the smoke tests were helpful on a broad sense, I often wished that I there was more feedback telling us WHY certain smoke tests were failing, rather than it just failing. I recognize it part of the process, however it has led to going down the wrong rabbit hole. Sometimes certain parts of the program can break another seemingly unrelated smoke test, and that can be a bit hard to diagnose without more details. (r279_AutoTest)


More feedback on how the grade was computed;;; I liked to start and finish my portions of the project early, while my partner preferred to work on the checkpoints later. When I completed my implementation, the smoke tests would pass, but I wouldn't be sure if I had hit all the edge cases until my partner did his work and we reached the proficient bucket. It would have been nicer to know that my portion was complete so I could safely move onto other course work. (r280_AutoTest)


More detailed feedback;;; The AutoTest feedback is a bit vague sometimes and I understand it's for us to write local tests. However, more detailed feedback would be great since sometimes the code passes locally but not on AutoTest, so that makes it a bit harder to identify the issue. (r281_AutoTest)


More feedback on how the grade was computed;;; The feedback gave enough of a hint on what next to work on, but not enough info on how close we were to our goal. (r282_AutoTest)


More detailed feedback;;; More detailed feedback could help me find the problem in my code more easily and quickly. (r283_AutoTest)


More detailed feedback;;; So we can figure out what exactly is wrong with our code and make corrections easier (r284_AutoTest)


More feedback on how the grade was computed;;; It was stressful having no idea what wasn’t working in a test cluster, especially when I was having difficulty understanding what in my implementation wasn’t working when my tests were passing locally (r285_AutoTest)


More detailed feedback;;; For c2, we were stuck with getting the MIN and MAX incorrect. despite literally exhausting nearly all possibilities and collaborating with our TA, we still could not get it, even though it was working properly locally. The autograder just said we should work on these two, which provided no help in this particular scenario. (r286_AutoTest)


Ability to check the same amount of feedback but more frequently;;; Being restricted to how many times to be graded would leave me unsure of if I was going in the right direction with my code, as it would run on my local device but not work on the autobot and I would be trying to get the autobot to work, but not having enough times to try to see what is going wrong. (r287_AutoTest)


More detailed feedback;;; (r288_AutoTest)


More feedback on what grade my submission received;;; (r289_AutoTest)


Ability to check the same amount of feedback but more frequently;;; I think the auto grader gave specific enough feedback, but I did not like we had only 2 attempts at getting feedback (r290_AutoTest)


More detailed feedback;;; Pinpointing errors were difficult without detailed feedback (r291_AutoTest)


No changes;;; I thought that the autotests were really well implemented not giving away too much information but also providing lots of hints to help. (r292_AutoTest)


More feedback on what grade my submission received;;; I think some of the bugs would be better fixed for the next implementations (r293_AutoTest)


No changes;;; I wish i had more time to put into the project, but nothing about it was bad in my view. (I'm not suggesting it take less time either, since I think that might take away from the knowledge-gain.) (r294_AutoTest)


More detailed feedback;;; so i know which part to edit and fix (r295_AutoTest)


More detailed feedback;;; I think sometimes exposing an autograder test that failed could help save so much time! (r296_AutoTest)
